Imazato A.; Higo Y.; Hotta K.; Kusumoto S.,"Imazato, Ayaka (55871961700); Higo, Yoshiki (7004831134); Hotta, Keisuke (36668756300); Kusumoto, Shinji (7102741360)",Finding Extract Method Refactoring Opportunities by Analyzing Development History,2017,10.1109/COMPSAC.2017.129,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031943303&doi=10.1109%2fCOMPSAC.2017.129&partnerID=40&md5=b6b0db708b6d4853ca502c66fe358555
Van Eetvelde N.; Janssens D.,"Van Eetvelde, Niels (8709816000); Janssens, Dirk (8338744100)",Extending Graph Rewriting for Refactoring,2004,10.1007/978-3-540-30203-2_28,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644916206&doi=10.1007%2f978-3-540-30203-2_28&partnerID=40&md5=694469686bfa40a9f86a69851549efab
Xu S.; Sivaraman A.; Khoo S.-C.; Xu J.,"Xu, Sihan (57118556200); Sivaraman, Aishwarya (51964738000); Khoo, Siau-Cheng (7102023296); Xu, Jing (35778130600)",GEMS: An Extract Method Refactoring Recommender,2017,10.1109/ISSRE.2017.35,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040765197&doi=10.1109%2fISSRE.2017.35&partnerID=40&md5=ac86d3e03d2a8b33c39b177c27e7e4b6
Marticorena R.; L�pez C.; Crespo Y.; P�rez F.J.,"Marticorena, Ra�l (25925158200); L�pez, Carlos (57203418592); Crespo, Yania (22733838200); P�rez, F. Javier (7202279315)",Refactoring generics in JAVA: A case study on Extract Method,2010,10.1109/CSMR.2010.38,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952653407&doi=10.1109%2fCSMR.2010.38&partnerID=40&md5=d974b9ddcb94c48a9f524b05592d4ea2
Murgia A.; Marchesi M.; Concas G.; Tonelli R.; Counsell S.,"Murgia, A. (36237030700); Marchesi, M. (7005947166); Concas, G. (57105938400); Tonelli, R. (7004058057); Counsell, S. (7005059140)",Parameter-based refactoring and the relationship with fan-in/fan-out coupling,2011,10.1109/ICSTW.2011.26,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051656408&doi=10.1109%2fICSTW.2011.26&partnerID=40&md5=da28acdba98d44f0ae8b301d651e4b8d
Cousot P.; Cousot R.; Logozzo F.; Barnett M.,"Cousot, Patrick (7003487004); Cousot, Radhia (6603152870); Logozzo, Francesco (23395143700); Barnett, Michael (57198138300)",An abstract interpretation framework for refactoring with application to extract methods with contracts,2012,10.1145/2384616.2384633,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869800778&doi=10.1145%2f2384616.2384633&partnerID=40&md5=ccf97da6453095ba304668970a2695bc
Meananeatra P.; Rongviriyapanish S.; Apiwattanapong T.,"Meananeatra, Panita (46161484600); Rongviriyapanish, Songsakdi (46161612500); Apiwattanapong, Taweesup (6505975796)",Refactoring opportunity identification methodology for removing long method smells and improving code analyzability,2018,10.1587/transinf.2017KBP0026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049395535&doi=10.1587%2ftransinf.2017KBP0026&partnerID=40&md5=fc0a4d2c34cb1d45a6a232c1dea550e6
Hora A.; Robbes R.,"Hora, Andre (55205116000); Robbes, Romain (15136854400)",Characteristics of method extractions in Java: a large scale empirical study,2020,10.1007/s10664-020-09809-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081884897&doi=10.1007%2fs10664-020-09809-8&partnerID=40&md5=e353d38e7374e4e52b2384e847c48fc3
Mahmoud A.; Niu N.,"Mahmoud, Anas (36559998700); Niu, Nan (36856329200)",Supporting requirements to code traceability through refactoring,2014,10.1007/s00766-013-0197-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906310312&doi=10.1007%2fs00766-013-0197-0&partnerID=40&md5=f697420ea2703a23509719e0159153bc
Silva I.P.S.C.; Alves E.L.G.; Machado P.D.L.,"Silva, Indy P.S.C. (57195280921); Alves, Everton L.G. (35185930600); Machado, Patr�cia D. L. (8340882100)",Can automated test case generation cope with extract method validation?,2018,10.1145/3266237.3266274,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055820894&doi=10.1145%2f3266237.3266274&partnerID=40&md5=17e42e87b1ea6750a04d8119dc3e7a64
